"letter_id";"child_name";"child_age";"city_id";"letter_date";"gift_id"
"1";"Юлия Дьякова";"7";"16";"2024-11-26";"29"
"2";"Ирина Дьякова";"2";"45";"2024-11-26";"14"
"3";"Елена Горохова";"4";"10";"2024-11-12";"3"
"4";"Артем Логинов";"2";"4";"2024-11-06";"6"
"5";"Дмитрий Николаев";"13";"34";"2024-11-03";"80"
"6";"Маргарита Калинина";"3";"47";"2024-11-14";"12"
"7";"Полина Суханова";"5";"6";"2024-11-19";"3"
"8";"Маргарита Малинина";"11";"15";"2024-11-03";"70"
"9";"Дмитрий Захаров";"16";"37";"2024-11-27";"99"
"10";"Дмитрий Козлов";"11";"40";"2024-11-09";"91"
"11";"Наталья Калинина";"14";"9";"2024-11-30";"67"
"12";"Анастасия Лукина";"2";"38";"2024-11-22";"15"
"13";"Михаил Лебедев";"4";"37";"2024-11-17";"10"
"14";"Любовь Пономарёва";"15";"42";"2024-11-08";"98"
"15";"Руслан Шестаков";"10";"6";"2024-11-15";"80"
"16";"Юлия Горохова";"7";"33";"2024-11-21";"19"
"17";"Андрей Мартынов";"12";"23";"2024-11-24";"53"
"18";"Анастасия Захарова";"4";"23";"2024-11-04";"6"
"19";"Ксения Лебедевскийа";"6";"29";"2024-11-28";"48"
"20";"Олег Суханов";"7";"41";"2024-11-23";"30"
"21";"Ольга Лукина";"16";"19";"2024-11-09";"86"
"22";"Артем Михайлов";"3";"49";"2024-11-05";"1"
"23";"Александр Пономарёв";"7";"30";"2024-11-15";"49"
"24";"Александр Зимин";"16";"42";"2024-11-06";"92"
"25";"Наталья Куликова";"8";"48";"2024-11-05";"25"
"26";"Ирина Калинина";"9";"27";"2024-11-04";"16"
"27";"Константин Быков";"15";"14";"2024-11-13";"77"
"28";"Никита Крылов";"13";"27";"2024-11-16";"82"
"29";"Анна Громова";"4";"34";"2024-11-07";"11"
"30";"Анастасия Пономарёва";"13";"35";"2024-11-14";"93"
"31";"Александр Громов";"12";"22";"2024-11-23";"95"
"32";"Михаил Горохов";"13";"42";"2024-11-26";"59"
"33";"Александр Горбунов";"7";"48";"2024-11-14";"50"
"34";"Евгения Савельева";"10";"50";"2024-11-06";"70"
"35";"Ирина Горохова";"2";"35";"2024-11-25";"2"
"36";"Павел Соловьев";"9";"41";"2024-11-01";"23"
"37";"Роман Горохов";"9";"25";"2024-11-11";"49"
"38";"Мария Калинина";"2";"12";"2024-11-03";"14"
"39";"Дарья Суханова";"2";"13";"2024-11-13";"14"
"40";"Полина Пономарёва";"9";"19";"2024-11-10";"30"
"41";"Виктор Иванов";"10";"30";"2024-11-17";"80"
"42";"Андрей Лукин";"2";"34";"2024-11-21";"4"
"43";"Анна Бондарева";"12";"50";"2024-11-18";"84"
"44";"Артем Логинов";"8";"48";"2024-11-20";"16"
"45";"Анна Куликова";"10";"34";"2024-11-01";"98"
"46";"Елена Романова";"8";"24";"2024-11-24";"20"
"47";"Наталья Горохова";"14";"6";"2024-11-04";"82"
"48";"Полина Трофимова";"4";"10";"2024-11-05";"6"
"49";"Олег Горохов";"16";"8";"2024-11-05";"92"
"50";"Владимир Соловьев";"9";"47";"2024-11-06";"33"
"51";"Наталья Романова";"9";"28";"2024-11-07";"29"
"52";"Никита Горохов";"7";"28";"2024-11-11";"20"
"53";"Ксения Пономарёва";"14";"13";"2024-11-23";"67"
"54";"Вера Трофимова";"14";"1";"2024-11-08";"80"
"55";"Анна Бондарева";"5";"4";"2024-11-22";"1"
"56";"Алина Савельева";"5";"20";"2024-11-29";"10"
"57";"Алина Соболева";"3";"28";"2024-11-07";"9"
"58";"Екатерина Лукина";"2";"43";"2024-11-12";"4"
"59";"Владимир Пономарёв";"12";"3";"2024-11-04";"52"
"60";"Павел Титов";"8";"5";"2024-11-02";"27"
"61";"Егор Петров";"12";"25";"2024-11-24";"81"
"62";"Леонид Смирнов";"14";"44";"2024-11-17";"51"
"63";"Даниил Трофимов";"5";"17";"2024-11-06";"5"
"64";"Ирина Дьякова";"7";"30";"2024-11-15";"34"
"65";"Алина Суханова";"16";"1";"2024-11-22";"67"
"66";"Михаил Сидоров";"7";"19";"2024-11-02";"23"
"67";"Наталья Шестакова";"5";"18";"2024-11-09";"2"
"68";"Олег Макаров";"5";"4";"2024-11-29";"8"
"69";"Ирина Горохова";"15";"36";"2024-11-16";"83"
"70";"Иван Степанов";"6";"11";"2024-11-15";"45"
"71";"Никита Лукин";"7";"49";"2024-11-08";"46"
"72";"Никита Суханов";"12";"44";"2024-11-13";"57"
"73";"Даниил Морозов";"12";"49";"2024-11-17";"62"
"74";"Дарья Калинина";"14";"3";"2024-11-11";"66"
"75";"Вера Лебедевскийа";"2";"2";"2024-11-28";"3"
"76";"Евгения Куликова";"5";"23";"2024-11-01";"12"
"77";"Никита Морозовский";"14";"17";"2024-11-18";"78"
"78";"Светлана Лукина";"16";"41";"2024-11-26";"94"
"79";"Виктория Бабушкина";"16";"9";"2024-11-15";"67"
"80";"Вера Громова";"7";"21";"2024-11-14";"50"
"81";"Владислав Савин";"16";"40";"2024-11-20";"86"
"82";"Любовь Савина";"2";"20";"2024-11-06";"12"
"83";"Константин Николаев";"2";"19";"2024-11-20";"15"
"84";"Наталья Артамонова";"13";"30";"2024-11-19";"53"
"85";"Ксения Калинина";"10";"13";"2024-11-10";"60"
"86";"Маргарита Калинина";"5";"42";"2024-11-17";"13"
"87";"Екатерина Морозовскийа";"8";"18";"2024-11-03";"48"
"88";"Владислав Быков";"10";"36";"2024-11-15";"74"
"89";"Владислав Логинов";"16";"18";"2024-11-27";"51"
"90";"Ольга Тимофеева";"4";"16";"2024-11-08";"9"
"91";"Евгения Суханова";"6";"50";"2024-11-13";"47"
"92";"Илья Воробьев";"14";"34";"2024-11-27";"74"
"93";"Александр Гаврилов";"10";"42";"2024-11-07";"79"
"94";"Руслан Романов";"6";"22";"2024-11-09";"21"
"95";"Татьяна Дьякова";"8";"49";"2024-11-06";"38"
"96";"Наталья Артамонова";"8";"16";"2024-11-19";"39"
"97";"Елена Бондарева";"10";"26";"2024-11-12";"95"
"98";"Маргарита Малинина";"6";"26";"2024-11-21";"23"
"99";"Павел Трофимов";"2";"40";"2024-11-20";"3"
"100";"Анна Артамонова";"2";"31";"2024-11-19";"6"
"101";"Вера Дьякова";"3";"35";"2024-11-13";"2"
"102";"Анастасия Тимофеева";"13";"8";"2024-11-13";"96"
"103";"Максим Николаев";"15";"10";"2024-11-06";"51"
"104";"Маргарита Соболева";"4";"9";"2024-11-17";"10"
"105";"Даниил Морозовский";"16";"19";"2024-11-03";"76"
"106";"Маргарита Савина";"16";"50";"2024-11-11";"99"
"107";"Леонид Горбунов";"9";"1";"2024-11-08";"39"
"108";"Илья Зимин";"2";"30";"2024-11-04";"3"
"109";"Екатерина Морозовскийа";"9";"34";"2024-11-06";"41"
"110";"Мария Морозовскийа";"13";"31";"2024-11-05";"73"
"111";"Любовь Лукина";"10";"49";"2024-11-21";"86"
"112";"Максим Воробьев";"3";"19";"2024-11-19";"15"
"113";"Елена Морозовскийа";"2";"37";"2024-11-18";"11"
"114";"Мария Трофимова";"5";"29";"2024-11-10";"9"
"115";"Наталья Куликова";"5";"45";"2024-11-19";"11"
"116";"Владимир Сидоров";"7";"49";"2024-11-03";"35"
